source_name,canonical_name
Bosnia-Herzegovina,Bosnia and Herzegovina
Bosnia and Herzegovina,Bosnia and Herzegovina
Cape Verde Islands,Cape Verde
Cape Verde,Cape Verde
Cabo Verde,Cape Verde
Congo DR,DR Congo
DR Congo,DR Congo
Curaçao,Curacao
Curacao,Curacao
Czechia,Czechia
Türkiye,Turkey
Turkey,Turkey
Korea Republic,South Korea
South Korea,South Korea
IR Iran,Iran
Iran,Iran
USA,United States
United States,United States
United States of America,United States
Côte d'Ivoire,Ivory Coast
Côte d’Ivoire,Ivory Coast
Cote d'Ivoire,Ivory Coast
Ivory Coast,Ivory Coast
